"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"GLRX","-",0,1,0,1,0,1,0,0.000442086648983201,0,1,2355,95811493,1,FALSE,FALSE,FALSE,FALSE,NA
"GLRX3","+",1,1,2,2,3,1,0.000547145723144264,0.00671140939597315,0,1,142123,175061,1,FALSE,FALSE,FALSE,FALSE,NA
"GLRX5","+",0,1,0,1,0,1,0,0.0000632911392405063,0,1,11035,95555753,1,FALSE,FALSE,FALSE,FALSE,NA
"GLS","+",7,4,13,5,1,2,0.000805152979066023,0.00112739571589628,0.133333333333334,1,50514,109174,0.595588235294118,FALSE,FALSE,TRUE,FALSE,NA
"GLS2","-",1,1,1,1,1,1,0.000235349493998588,0.000848176420695505,0,1,11780,17077,1,FALSE,FALSE,FALSE,FALSE,NA
"GLT1D1","+",1,1,1,1,1,1,0.000182381907714755,0.00288184438040346,0,1,0,42349,1,FALSE,FALSE,FALSE,FALSE,NA
"GLT8D1","-",1,1,1,1,1,1,0.00016095284081764,0.000243368216110976,0,1,0,6432,1,FALSE,FALSE,FALSE,FALSE,NA
"GLTP","-",1,1,1,1,1,1,0.000241196333815726,0.00471698113207547,0,1,2850,1919,1,FALSE,FALSE,FALSE,FALSE,NA
"GLTPD2","+",0,1,0,1,0,1,0,0.0062111801242236,0,1,2753,4793342,1,FALSE,FALSE,FALSE,FALSE,NA
"GLTSCR1","+",9,3,19,7,6,4,0.00531914893617021,0.0869565217391304,0.307692307692307,2,14834,92891,0.357421708726057,FALSE,FALSE,TRUE,FALSE,NA
"GLTSCR1L","+",10,6,22,16,3,4,0.000970402717127608,0.00714285714285714,0.148026315789473,1,1536,118481,0.735177223942519,FALSE,FALSE,TRUE,FALSE,NA
